sample_id,task_id,difficulty,gold_source,intended_error_type,gold_final_correct,gold_process_correct,gold_first_error_step,pred_process_correct,pred_first_error_step,pred_error_type,ann1_step,ann1_type,ann1_is_real_issue,ann2_step,ann2_type,ann2_is_real_issue,agreement,adjudicated_step,adjudicated_type,adjudicator_note,audit_note
C159,M20,medium,constructed,实现不一致,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 说会在 diff[r+1] 处减 v，代码只有 diff[l] += v，区间右端点之后的元素被误加。
C160,M21,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C161,M21,medium,constructed,格式不符,True,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 把返回类型说成 set，与签名要求的有序列表不符。
C162,M21,medium,constructed,计算错误,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,"人工复核：S3 的重数取了较大者，[1,1,1] 与 [1] 的交集被算成 [1,1,1]。"
C163,M22,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C164,M22,medium,constructed,跳步推导,True,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 用「显然已有序」跳过了组内顺序的论证，与「组内保持输入顺序」的要求冲突。
C165,M22,medium,constructed,题意误读,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 把「输出保留原拼写」误读成分组也要区分大小写，'Eat' 与 'tea' 因此被拆成两组。
C166,M23,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C167,M23,medium,constructed,复杂度错误,True,False,S2,False,S2,复杂度错误,,,,,,,,,,,人工复核：S2 要求每轮重扫全栈并接受 O(n^2)，实际 O(n) 即可完成。
C168,M23,medium,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 返回匹配个数而非布尔值，返回类型与题面签名不符。
C169,M24,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C170,M24,medium,constructed,概念错误,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 按区间长度贪心，忽略了必须接得上当前覆盖点这一前提。
C171,M24,medium,constructed,边界错误,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 排除了左端点等于 cur 的区间，把闭区间的端点相接误判为重叠。
C172,M25,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C173,M25,medium,constructed,复杂度错误,True,False,S3,False,S3,复杂度错误,,,,,,,,,,,人工复核：S3 把区间 DP 的状态数说成 O(n)，实际为 O(n^2)。
C174,M25,medium,constructed,条件遗漏,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 遗漏了空串必须直接返回 0 的条件，dp 为空时取 dp[0] 会越界。
C175,M26,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C176,M26,medium,constructed,计算错误,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 跳过重复时比错了下标，应与已写入的前一个元素比较。
C177,M26,medium,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,"人工复核：S3 主张保留重复三元组，与题面去重要求不符，[0,0,0,0] 输出了两个 [0,0,0]。"
C178,M27,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C179,M27,medium,constructed,边界错误,True,False,S3,False,S3,边界错误,,,,,,,,,,,"人工复核：S3 把无环的返回值写成 [0, 0]，与题面规定的 [-1, 0] 不符。"
C180,M27,medium,constructed,跳步推导,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,"人工复核：S3 用「显然」断言相遇点即入口，跳过了从起点同速前进求入口这一步，[1,2,3,4,2] 因此返回 [3,3]。"
C181,M28,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C182,M28,medium,constructed,概念错误,True,False,S3,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S3 关于前导零与数字 0 的处理方式是错的。
C183,M28,medium,constructed,边界错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 的循环边界主张与代码一致地错了，高位数字被整体漏统计。
C184,M29,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C185,M29,medium,constructed,题意误读,True,False,S2,False,S2,边界错误,,,,,,,,,,,代码沿用参考解故答案正确，但 S2 把半开区间读成了共享端点的闭区间。
C186,M29,medium,constructed,实现不一致,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,步骤声称代码先出后进，代码实际是先入后出，主张与实现相互矛盾。
C187,M30,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C188,M30,medium,constructed,格式不符,True,False,S3,True,,,,,,,,,,,,,代码原样保留参考解故答案正确，但 S3 对返回值形状的描述与题目约定不符。
C189,M30,medium,constructed,跳步推导,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 用“显然成立”代替论证，代码照此把反转后的顺序用于入队，深层输出次序出错。
C190,H04,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C191,H04,hard,constructed,跳步推导,True,False,S3,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S3 用一个未加论证的“显然”跳过了可行性判定。
C192,H04,hard,constructed,计算错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 与代码一致地把剩余后缀下标写成 p、q，少推一位导致可行性判断失效。
C193,H05,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C194,H05,hard,constructed,复杂度错误,True,False,S3,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S3 对时间复杂度的估计比实际低一个量级。
C195,H05,hard,constructed,条件遗漏,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 与代码一致地漏掉了 k = i 这一合法分割，区间 DP 的转移不完整。
C196,H06,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C197,H06,hard,constructed,条件遗漏,True,False,S4,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S4 漏掉了兼容条件里的冷却间隔这一项。
C198,H06,hard,constructed,边界错误,False,False,S4,True,CODE,实现不一致,,,,,,,,,,,S4 与代码一致地把兼容判据写成严格小于，边界上的合法组合被排除。
C199,H07,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C200,H07,hard,constructed,幻觉,True,False,S2,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S2 声称了一条题面并不存在的输入保证。
C201,H07,hard,constructed,题意误读,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,S1 把“覆盖重数”读成“覆盖种类”，代码据此统计，最短长度偏小。
C202,H08,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C203,H08,hard,constructed,边界错误,True,False,S2,False,S5,条件遗漏,,,,,,,,,,,代码保留参考解故答案正确，但 S2 主张跳过短回文，边界长度 1、2 会被漏掉。
C204,H08,hard,constructed,概念错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 与代码一致地把失配对数当成失配字符数，计数翻倍导致答案偏小。
C205,H09,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C206,H09,hard,constructed,实现不一致,True,False,S4,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S4 描述的堆维护方式与代码实际做法不一致。
C207,H09,hard,constructed,格式不符,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 主张返回元组，代码照此实现，返回值形状与题面约定不符。
C208,H10,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C209,H10,hard,constructed,复杂度错误,True,False,S5,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S5 对时间与空间的估计都不成立。
C210,H10,hard,constructed,计算错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 与代码一致地在转移里减去重量，目标函数被改成了净收益最大化。
C211,H11,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C212,H11,hard,constructed,概念错误,True,False,S2,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S2 关于插入与删除代价可合并的说法是错的。
C213,H11,hard,constructed,条件遗漏,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,S2 与代码一致地漏掉了“相同字符匹配代价为 0”这一条件，转移候选不完整。
C214,H12,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C215,H12,hard,constructed,跳步推导,True,False,S1,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S1 的关键结论没有任何可验证的支撑。
C216,H12,hard,constructed,计算错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,S3 与代码一致地把卖出收益算成减法，符号错误使利润计算完全失真。
C217,H13,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C218,H13,hard,constructed,幻觉,True,False,S1,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S1 声称了一条题面没有的输入保证。
C219,H13,hard,constructed,实现不一致,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,S1 声称代码按权值升序排序，代码里却对权值取了相反数，主张与实现相反。
C220,H14,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C221,H14,hard,constructed,复杂度错误,True,False,S3,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S3 对可行性检查的代价估计不成立。
C222,H14,hard,constructed,题意误读,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,S1 把“连续分段”读成“任意分组”，代码照此重排元素，答案不可达。
C223,H15,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤逐条对应参考解，未发现不成立的依据。
C224,H15,hard,constructed,格式不符,True,False,S5,True,,,,,,,,,,,,,代码保留参考解故答案正确，但 S5 描述的返回值形状与题面要求不符。
C225,H15,hard,constructed,幻觉,False,False,S3,False,S3,概念错误,,,,,,,,,,,S3 声称题面保证元素非负，代码据此改用双指针，负元素情形下统计出错。
C226,H16,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C227,H16,hard,constructed,概念错误,True,False,S3,True,,,,,,,,,,,,,人工复核：代码仍是参考解所以答案正确，但 S3 把编号最小换成了入度最小，概念不成立。
C228,H16,hard,constructed,实现不一致,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：步骤描述取最小编号点，实现却每次取最大编号点，步骤与代码不符。
C229,H17,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C230,H17,hard,constructed,计算错误,True,False,S4,True,,,,,,,,,,,,,人工复核：末步用均匀分布假设替代了实际的状态求和，算术结论错误。
C231,H17,hard,constructed,条件遗漏,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,"人工复核：S2 与代码都丢掉了上界 tight 这一必要条件，计数范围超出 [0, n]。"
C232,H18,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C233,H18,hard,constructed,幻觉,True,False,S5,True,,,,,,,,,,,,,人工复核：S5 引用了题面并不存在的「点权互不相同」保证，属于无依据的前提。
C234,H18,hard,constructed,计算错误,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：S2 与代码都把取当前点的名额记在了下标 0，名额计数少了一个。
C235,H19,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C236,H19,hard,constructed,题意误读,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 自行加上了「必须回到出发节点」这一题目没有的条件。
C237,H19,hard,constructed,格式不符,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 与代码都返回二元组，与题目要求的整数返回类型不符。
C238,H20,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C239,H20,hard,constructed,跳步推导,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 用「对称、显然」取代了第二条转移分支的论证，关键结论缺乏依据。
C240,H20,hard,constructed,实现不一致,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 要求两条分支都累加，实现里 elif 只保留一条，步骤与代码不符。
C241,H21,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C242,H21,hard,constructed,复杂度错误,True,False,S4,True,,,,,,,,,,,,,人工复核：S4 把二分查找的代价当成常数，复杂度结论错误。
C243,H21,hard,constructed,边界错误,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 与代码都排除了首尾峰值，与「单调段可以为空」的边界约定冲突。
C244,H22,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C245,H22,hard,constructed,概念错误,True,False,S2,False,S2,题意误读,,,,,,,,,,,人工复核：S2 把前缀函数的匹配方向理解反了，把后缀误当成了前缀。
C246,H22,hard,constructed,题意误读,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 与代码只保证得到回文，忽略了题目对最短的要求。
C247,H23,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C248,H23,hard,constructed,跳步推导,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 用「显然」略过了幂次与初始向量对应关系的推导。
C249,H23,hard,constructed,计算错误,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：S2 与代码都把转移次数多算了一次，结果错位一项。
C250,H24,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C251,H24,hard,constructed,条件遗漏,True,False,S3,False,S3,实现不一致,,,,,,,,,,,人工复核：S3 漏掉了体积维也必须倒序枚举这一必要条件。
C252,H24,hard,constructed,概念错误,False,False,S3,False,S3,实现不一致,,,,,,,,,,,人工复核：S3 与代码都把完全背包的更新语义当成了 0/1 背包的做法。
C253,H25,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C254,H25,hard,constructed,题意误读,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 把字典序最小的拼接问题误读成了按数值排序。
C255,H25,hard,constructed,格式不符,False,False,S4,True,CODE,实现不一致,,,,,,,,,,,人工复核：S4 与代码都剥离了前导零，与题目要求的返回串格式不符。
C256,H26,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C257,H26,hard,constructed,幻觉,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 声称的题目保证在题面中并不存在，属于虚构前提。
C258,H26,hard,constructed,边界错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 与代码都把可复用的等号边界排除掉了，端点相接时结果偏大。
C259,H27,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C260,H27,hard,constructed,实现不一致,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 声称代码只处理两种取法，而实现里列了四种，描述与代码不符。
C261,H27,hard,constructed,条件遗漏,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 与代码都遗漏了长度为 2 时一次取走两个这一取法。
C262,H28,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C263,H28,hard,constructed,复杂度错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 把不可省略的排序开销从复杂度中抹去，结论错误。
C264,H28,hard,constructed,跳步推导,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 把 Kruskal 的取边方向改反并用「显然」跳过论证，代码相应取最大边。
C265,H29,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C266,H29,hard,constructed,边界错误,True,False,S5,True,,,,,,,,,,,,,人工复核：S5 错误处理了 src == dst 这一边界，与题面约定相反。
C267,H29,hard,constructed,复杂度错误,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 把 O(n^2) 的线性扫描说成比堆实现更快，复杂度判断错误。
C268,H30,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C269,H30,hard,constructed,格式不符,True,False,S5,True,,,,,,,,,,,,,人工复核：S5 把返回值换成了数组，与题目要求的布尔返回类型不一致。
C270,H30,hard,constructed,幻觉,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：S2 把需要自己建模的 0/1 约束当成题目自动保证的前提，属于虚构前提。
